ADDITION

   | 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15
---|-----------------------------------------------
00 | 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15
01 | 01 00 03 02 05 04 07 06 09 08 11 10 13 12 15 14
02 | 02 03 00 01 06 07 04 05 10 11 08 09 14 15 12 13
03 | 03 02 01 00 07 06 05 04 11 10 09 08 15 14 13 12
04 | 04 05 06 07 00 01 02 03 12 13 14 15 08 09 10 11
05 | 05 04 07 06 01 00 03 02 13 12 15 14 09 08 11 10
06 | 06 07 04 05 02 03 00 01 14 15 12 13 10 11 08 09
07 | 07 06 05 04 03 02 01 00 15 14 13 12 11 10 09 08
08 | 08 09 10 11 12 13 14 15 00 01 02 03 04 05 06 07
09 | 09 08 11 10 13 12 15 14 01 00 03 02 05 04 07 06
10 | 10 11 08 09 14 15 12 13 02 03 00 01 06 07 04 05
11 | 11 10 09 08 15 14 13 12 03 02 01 00 07 06 05 04
12 | 12 13 14 15 08 09 10 11 04 05 06 07 00 01 02 03
13 | 13 12 15 14 09 08 11 10 05 04 07 06 01 00 03 02
14 | 14 15 12 13 10 11 08 09 06 07 04 05 02 03 00 01
15 | 15 14 13 12 11 10 09 08 07 06 05 04 03 02 01 00



MULTIPLICATION

   | 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15
---|-----------------------------------------------
00 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01 | 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15
02 | 00 02 04 06 08 10 12 14 09 11 13 15 01 03 05 07
03 | 00 03 06 05 12 15 10 09 01 02 07 04 13 14 11 08
04 | 00 04 08 12 09 13 01 05 11 15 03 07 02 06 10 14
05 | 00 05 10 15 13 08 07 02 03 06 09 12 14 11 04 01
06 | 00 06 12 10 01 07 13 11 02 04 14 08 03 05 15 09
07 | 00 07 14 09 05 02 11 12 10 13 04 03 15 08 01 06
08 | 00 08 09 01 11 03 02 10 15 07 06 14 04 12 13 05
09 | 00 09 11 02 15 06 04 13 07 14 12 05 08 01 03 10
10 | 00 10 13 07 03 09 14 04 06 12 11 01 05 15 08 02
11 | 00 11 15 04 07 12 08 03 14 05 01 10 09 02 06 13
12 | 00 12 01 13 02 14 03 15 04 08 05 09 06 10 07 11
13 | 00 13 03 14 06 11 05 08 12 01 15 02 10 07 09 04
14 | 00 14 05 11 10 04 15 01 13 03 08 06 07 09 02 12
15 | 00 15 07 08 14 01 09 06 05 10 02 13 11 04 12 03
